@m.xm0.m0[cdb] ,-3.08E-16,@m.xm1.m0[cdb] ,-3.10E-16,@m.xm2.m0[cdb] ,-2.39E-16,@m.xm3.m0[cdb] ,-9.64E-15,@m.xm4.m0[cdb] ,-2.37E-16,@m.xm5.m0[cdb] ,-3.08E-16
@m.xm0.m0[cgd] ,1.63E-17,@m.xm1.m0[cgd] ,1.15E-17,@m.xm2.m0[cgd] ,1.78E-17,@m.xm3.m0[cgd] ,-5.91E-15,@m.xm4.m0[cgd] ,2.13E-17,@m.xm5.m0[cgd] ,1.61E-17
@m.xm0.m0[cgs] ,-2.57E-15,@m.xm1.m0[cgs] ,-2.57E-15,@m.xm2.m0[cgs] ,-2.62E-15,@m.xm3.m0[cgs] ,-5.18E-14,@m.xm4.m0[cgs] ,-2.63E-15,@m.xm5.m0[cgs] ,-2.57E-15
@m.xm0.m0[csb] ,-4.62E-16,@m.xm1.m0[csb] ,-4.62E-16,@m.xm2.m0[csb] ,-3.56E-16,@m.xm3.m0[csb] ,-1.26E-14,@m.xm4.m0[csb] ,-3.55E-16,@m.xm5.m0[csb] ,-4.62E-16
@m.xm0.m0[gds] ,3.57E-06,@m.xm1.m0[gds] ,4.43E-06,@m.xm2.m0[gds] ,4.41E-06,@m.xm3.m0[gds] ,1.39E-05,@m.xm4.m0[gds] ,3.75E-06,@m.xm5.m0[gds] ,3.63E-06
@m.xm0.m0[gm] ,2.01E-04,@m.xm1.m0[gm] ,1.89E-04,@m.xm2.m0[gm] ,1.89E-04,@m.xm3.m0[gm] ,4.41E-05,@m.xm4.m0[gm] ,1.99E-04,@m.xm5.m0[gm] ,1.99E-04
@m.xm0.m0[gmbs] ,5.77E-05,@m.xm1.m0[gmbs] ,5.45E-05,@m.xm2.m0[gmbs] ,4.19E-05,@m.xm3.m0[gmbs] ,1.72E-05,@m.xm4.m0[gmbs] ,4.39E-05,@m.xm5.m0[gmbs] ,5.72E-05
@m.xm0.m0[id] ,2.03E-05,@m.xm1.m0[id] ,1.86E-05,@m.xm2.m0[id] ,1.86E-05,@m.xm3.m0[id] ,2.00E-05,@m.xm4.m0[id] ,2.00E-05,@m.xm5.m0[id] ,2.00E-05
@m.xm0.m0[vds] ,8.87E-01,@m.xm1.m0[vds] ,4.58E-01,@m.xm2.m0[vds] ,5.04E-01,@m.xm3.m0[vds] ,4.59E-01,@m.xm4.m0[vds] ,9.20E-01,@m.xm5.m0[vds] ,8.07E-01
@m.xm0.m0[vdsat] ,1.63E-01,@m.xm1.m0[vdsat] ,1.61E-01,@m.xm2.m0[vdsat] ,1.64E-01,@m.xm3.m0[vdsat] ,5.60E-01,@m.xm4.m0[vdsat] ,1.66E-01,@m.xm5.m0[vdsat] ,1.63E-01
@m.xm0.m0[vgs] ,8.07E-01,@m.xm1.m0[vgs] ,8.07E-01,@m.xm2.m0[vgs] ,9.21E-01,@m.xm3.m0[vgs] ,1.38E+00,@m.xm4.m0[vgs] ,9.20E-01,@m.xm5.m0[vgs] ,8.07E-01
@m.xm0.m0[vth] ,6.78E-01,@m.xm1.m0[vth] ,6.82E-01,@m.xm2.m0[vth] ,7.94E-01,@m.xm3.m0[vth] ,6.54E-01,@m.xm4.m0[vth] ,7.90E-01,@m.xm5.m0[vth] ,6.79E-01
,,,,,,,,,,,
,,,,,,,,,,,
Column1,M0,M1,M2,M3,M4,M5,,,,,
cdb,-3.08E-16,-3.10E-16,-2.39E-16,-9.64E-15,-2.37E-16,-3.08E-16,,,,,
cgd,1.63E-17,1.15E-17,1.78E-17,-5.91E-15,2.13E-17,1.61E-17,,,,,
cgs,-2.57E-15,-2.57E-15,-2.62E-15,-5.18E-14,-2.63E-15,-2.57E-15,,,,,
csb,-4.62E-16,-4.62E-16,-3.56E-16,-1.26E-14,-3.55E-16,-4.62E-16,,,,,
gds,3.57E-06,4.43E-06,4.41E-06,1.39E-05,3.75E-06,3.63E-06,,,,,
gm,2.01E-04,1.89E-04,1.89E-04,4.41E-05,1.99E-04,1.99E-04,,,,,
gmbs,5.77E-05,5.45E-05,4.19E-05,1.72E-05,4.39E-05,5.72E-05,,,,,
id,2.03E-05,1.86E-05,1.86E-05,2.00E-05,2.00E-05,2.00E-05,,,,,
vds,8.87E-01,4.58E-01,5.04E-01,4.59E-01,9.20E-01,8.07E-01,,,,,
vdsat,1.63E-01,1.61E-01,1.64E-01,5.60E-01,1.66E-01,1.63E-01,,,,,
vgs,8.07E-01,8.07E-01,9.21E-01,1.38E+00,9.20E-01,8.07E-01,,,,,
vth,6.78E-01,6.82E-01,7.94E-01,6.54E-01,7.90E-01,6.79E-01,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
net1 ,0.00E+00,,,,,,,,,,
net2 ,8.07E-01,,,,,,,,,,
net3 ,8.07E-01,,,,,,,,,,
v1#branch ,8.07E-13,,,,,,,,,,
v2#branch ,-7.89E-05,,,,,,,,,,
vb ,1.38E+00,,,,,,,,,,
vd1 ,4.58E-01,,,,,,,,,,
vd3 ,4.59E-01,,,,,,,,,,
vdd ,1.80E+00,,,,,,,,,,
vout1 ,8.87E-01,,,,,,,,,,
vout2 ,9.61E-01,,,,,,,,,,
vsig ,8.07E-01,,,,,,,,,,
